r,s,z,r_bits
2859990438910489885311636455618006239504894088231541362509,4937452737527832459691316142059044656807139604936567372945,4092449396271278315162806219152734955426966920339888486470,191
506729149210061312442212665729375160287966342181378432145,5136118537369941583620074414074852738605537927255297274070,4612477146990928574493949739275218668287757204457860365607,189
4447335735068339971362867204435099379426164764320740217144,1037421448490515085899378671055624933368793580711416305525,1221157116923670878469042284652612174624337969941542393070,192
314026466881084407080111089701326701654440145021042718888,2430766349124725154407977397768648027768034195006844816577,4834848353584041520205703338580217968952264369672259765023,188
919001175910858352057294638356319073915686298454235477843,4618878130412906257336417058805019940312738807145576674412,4136459665239238837623780718327494632927608256931435289045,190
1362808666887175129631819709554100815127179738018345788878,2884028844970370855787648777466210099051751755687090048070,2224064089154203935626788620022372450912268641658085041828,190
1894468163477095400010769474933874323398051625188740714256,5253855028616758050411202626811371498816111428211220552488,4826959606313873127952878872832222903863419616557221549020,191
5447347251979603450181184121224488784232694355536827046690,5584599258897979195358254509557555086086797509982971169913,4570446619224720041407335079616389243806214335751896616735,192
5376071479460188608690679427020354996089295445457254696438,4783751937080420816283561171380479053502271354457264364560,2627405673501112156459148724935663557673239318372440403896,192
5012572637551469866988180983471560543325857912487615334483,5592451067958911687160169837916983926800243343487713002283,938304327571018612326450418258628253321935778099446674919,192
2261290239173716599284525120802199905534054479021617383849,4244908802130800811638536613528030747756202402177372310394,2311980185395545945454860601197007923148948639087463849944,191
1771674800633992932291060611607365038620086089469056050183,3372797473811005939313545355208105250511077459173968510219,3514521886353439362091408271947054609671566847097006551711,191
829393885435120605654524526141624078281653282367003914508,229565215262573042508904191866448257389997597882687312210,612723931241316329680486679673707204438025376382577902040,190
3789471089941090715923316402841034065930563452795536221256,1413924136651628664905236189259456450652812466026030161267,3964407478643166361951462107634619362836595021643060964674,192
3394310649253228944322723357371574181814224647370485454714,588003869414965465597870103671350983281753101821755229411,3012540640080878428369518150261534558062991911518031262848,192
2767481260354237397855886923662433326324980741477289552601,4147577095598999781433835815427381748201013314640109825384,3250735763044672839809398549610519794534094129087060663969,191
1099584162593155417466617233368488794384102186115238318886,2625177845697869204175724821653817586344400007583158256894,5219474179407700494734330223600949730201782255138336924907,190
5480969336427494024081238498496080713156521404830213776964,5025852901760974718095410597134843738917159000042718188654,6197721950797416828971237198284378318166864802869081180314,192
6178304499809682302291223462154942184633469512771402027016,448931705841434096754666159618562321244639728618399782308,3823570449042231645840543012309527683224837555300038278171,192
2144121609196010355396963598824018674238405216215384535024,5614817967094601623424075303748676622217065436730781303000,4792411505271513315933272165169822387918630521795431078865,191
1407504334394286943298694832718252062454370229208128650783,5089515156712831063746958735797300434792965085506238105597,3722577634726943259223420710716669645063884370060886295802,190
5207822187139773687873884464556620470282399932174083342028,3711780611933076692038960245815273579481716933688885785619,2620860085121724928546003424916170878922239564750945845476,192
2363700544387805161242482189342602984335351812319506889116,4157402204074400280081267190945723103952248684838820098709,2887197673341103061690886847817246643914251448087427678528,191
2355090733555685958343246513209286573701236682562519400925,2301727316076011931646834261538236083277034205109645948159,4833319262768508421969864962743873971501881839618928673889,191
440955586765860762721905681714904432970436888308069588473,2185667624582189888414224141872566791538775485011583083488,6645581638447345037529133810727976490008519391410032837,189
4408298422793809288725522893765849497031435750349274940474,2787882764447034451959251893529823777356502485810557078217,4653642676311802208086392937877353505817393950453160870738,192
