r,s,z,r_bits
4471448590686370913198180364871360968121620126657055547158,3513896807988506548278047487095424499166085620457144943075,5378883786290572830634143399267907972611830600124920803715,192
4792349188746978432152936012320150403573281156885751895382,498118528730562320399133243214186960205343732775431072832,5738287379043627890440891664771664484376360739155119561400,192
6054649406252611488027613463579072381985156918255798915483,5850842773412179320716303149777423524574373272802887984614,4522828638987530537233680383375740993276139795866498879457,192
2941593897918915995307174779389699090342795931549367088004,3661680931008346727698427281465432366200279356115787036888,5566162543858068024829721608730296519789971412261391025539,191
2424114460815552487837965741088628967416412166363528026492,553695217979766146979936413977026852921265076766313615825,1713495617033521659509248688563894083433759089752819366560,191
353755915752942769653734327267819143083646123247240868468,4615950990842842614547699553272350831749646415434542193373,5512244694416841431960438120464056377758916924795974795562,188
3823927589128835656176066410985055410923871157869034042084,5923008511155334209099070029225873915507432195736858147913,918829612078511514993236586660412667689731699936286475323,192
1170156733789158477264582310785222279452787298898773933602,4294741166833087855675038733076774579406425440190868243425,1269873962949655810169351869085310977999402984161718952718,190
2738348412226882237710941415312393829568405398607329523235,5137043056972492248876142210619106762357019039815791213779,1319073241078779294207317506917628482759700621752664301645,191
2041382597093385922578002330907339733903882054195773709577,2613205087985385940002428352909584970553472952026315683036,259722835043241730147755306494160985424541598777178127391,191
277578765351967015090216092899095085688205175116396258210,4505521488636597073089356422922156841523657370009868025133,1042025605000848620592293515277869238065064600288685089079,188
5373708097959715022393140728795572920548315019977734003065,4252745643374984511778422406207498169023562923750140017037,3385184460176898973022764744831671350332316207580064547020,192
2697353163248452340909287455728051245719110941514300431911,3804897554503827356835822329205977344005069518872470246876,1009690958565154139809742005463057074190030056823952751230,191
1679935365299873775643993087403520958652401307518538970797,601542363579573195779101664018090648731605063397297307159,2994472926380202943385356637891524550705241711692385344897,191
3202370867683298493711736492420577070023905775762459072472,1032542006334012169363534246013612547794764665324004615257,2545355661794228219732525621133240141693813464147235281925,192
114567105464312259220783800192954153429400177579122145706,4119453216125207329546398033850812685189667781721226940525,3172583704066327478747504955584430154764403742709956278716,187
987792016516893791983631203252285569152089415729610236126,738875548428184432868834084938679247916602912902623471743,2433233703413402176903060189145205759466771687908639508420,190
668850253589690255862128438973051018556150161145484487937,5215507530300335386591924138210966928423725525617848069406,3648585871841750608692052545752278553002791845074809142084,189
5740298555634386631489108869997233560333394943850610805470,1832667776551999710723453677567737246291490824236943620450,1920389354790862351428729067304708693640354667099577776058,192
1100439030208660290160765281926167055964957049691388752466,3460556363682419815068929482767293680148015603867453793973,534121284515099718897197341557604271820499433482021303537,190
3521428511987298350457520330768408590840277192090146871897,5495118968768877001244307457161255623429142755720676897893,1786315385481325640726858308449606349690741867378008145390,192
3889844337754433767887486434374329308437569673658617902007,1827307780976820844546998815601348955121628652718813235286,1962887432759564540161715411431714554938398298670784044593,192
6147073944206405883646147111365355422561686437318189215495,1785714528108812479241237377231267343066175012878015726283,2036493791831613072639738705061593039644127549497872524749,192
2211761465407417701139814039680753198045557131590431138868,4003395465272471288561461263769960741730148187915201385623,1172957773888564230654006803869915152468051973914495059047,191
60602470012511316041837513429640242983900466253816506155,2078865768187651119851758479572959637216824358201289637104,5880706295809265070271352361423143924317520334816009568505,186
3859549678542208534816163875652182914850035839837450101561,2954426636884144119372682309009927875444843529435108971782,4192465916360725843376607008139927880331424642655355602884,192
3651916421710038369836354021880536083274336649546235835777,5475108918206147298492581044897754261677400880842638493410,4739912776526799949212978460924861337251696079546990746412,192
5251007569822649082749605459056313180366877185831160639564,5673387453890174591873842838258891582281909389283694835032,287702337604405091354165254271060533296994422276613293213,192
2049076127446746930305743225657324132328820704084013521234,5451429905670294288107722638590978236697776106955024310889,1526389188744010816261900968367206084148333053973205074713,191
2136926744731781220060178696578551567393172583277708010004,596728403194783871694212264633296960903937106667521457490,5622122416188791688974598283800175722822882266492317579001,191
5998907594810572840353622423209968847850852447730837536192,2703237778026393357425146309661830136130197762052151218626,3657639305256661236525390092179206818586857617994876847103,192
3281137094267072093363257228460103057083427754714120498722,1971016254152063583764108751347545459332230612236870019604,4924736333033260906298970028758894322967824277600111790604,192
1732667818169383229495348191655225443243320970657450573936,4638909048720992875398735384463915653170975898262208554811,5726462934114486599453777924436413069778527310210019790175,191
5689149980637549259889315498015922791727015357065201944551,206926390708882581760776291580884716146800219034126056755,1043148575461317540175164354414582352193911857150214036475,192
4387135425116447566189176419125072360883552155741350263167,659082619791734462569302211517672685822117408591862800959,3781030595087319718325401434727733607722480594374549913136,192
3001629071676527618338296799346698482706020469295920225245,5366987398783886928619337934189929874071686989634847460905,3942466109233582209533298700006385758055258628471378889158,191
